Offset MPU6050
Tiempo total: 1215 (2000 muestras)
Offset AcX = 4108.95 | Offset AcY = -113.78 | Offset AcZ = 419.72
Offset GiX = -140.25 | Offset GiY = -93.30 | Offset GiZ = -0.74
Resultados MPU6050
AcX = 4107.00 | AcY = -113.00 | AcZ = 443.00 | GiX = -139.00 | GiY = -91.00 | GiZ = -1.00 | Tiempo: 598
AcX = 4104.00 | AcY = -108.00 | AcZ = 419.00 | GiX = -146.00 | GiY = -93.00 | GiZ = -5.00 | Tiempo: 1196
AcX = 4111.00 | AcY = -118.00 | AcZ = 422.00 | GiX = -139.00 | GiY = -97.00 | GiZ = 11.00 | Tiempo: 1794
AcX = 4100.00 | AcY = -113.00 | AcZ = 412.00 | GiX = -154.00 | GiY = -95.00 | GiZ = -2.00 | Tiempo: 2392
AcX = 4113.00 | AcY = -101.00 | AcZ = 384.00 | GiX = -149.00 | GiY = -96.00 | GiZ = 24.00 | Tiempo: 2990
AcX = 4099.00 | AcY = -111.00 | AcZ = 414.00 | GiX = -147.00 | GiY = -98.00 | GiZ = -1.00 | Tiempo: 3588
AcX = 4099.00 | AcY = -121.00 | AcZ = 419.00 | GiX = -143.00 | GiY = -102.00 | GiZ = 2.00 | Tiempo: 4186
AcX = 4100.00 | AcY = -115.00 | AcZ = 450.00 | GiX = -141.00 | GiY = -104.00 | GiZ = 0.00 | Tiempo: 4784
AcX = 4104.00 | AcY = -116.00 | AcZ = 438.00 | GiX = -129.00 | GiY = -86.00 | GiZ = 11.00 | Tiempo: 5382
AcX = 4114.00 | AcY = -115.00 | AcZ = 436.00 | GiX = -145.00 | GiY = -94.00 | GiZ = 5.00 | Tiempo: 5980
AcX = 4103.00 | AcY = -122.00 | AcZ = 413.00 | GiX = -143.00 | GiY = -94.00 | GiZ = -3.00 | Tiempo: 6578
AcX = 4102.00 | AcY = -111.00 | AcZ = 404.00 | GiX = -158.00 | GiY = -108.00 | GiZ = -7.00 | Tiempo: 7176
AcX = 4097.00 | AcY = -104.00 | AcZ = 420.00 | GiX = -136.00 | GiY = -91.00 | GiZ = -2.00 | Tiempo: 7774
AcX = 4104.00 | AcY = -95.00 | AcZ = 410.00 | GiX = -145.00 | GiY = -86.00 | GiZ = 13.00 | Tiempo: 8372
AcX = 4105.00 | AcY = -120.00 | AcZ = 402.00 | GiX = -128.00 | GiY = -90.00 | GiZ = -13.00 | Tiempo: 8970
AcX = 4108.00 | AcY = -110.00 | AcZ = 414.00 | GiX = -133.00 | GiY = -89.00 | GiZ = 8.00 | Tiempo: 9568
AcX = 4113.00 | AcY = -107.00 | AcZ = 442.00 | GiX = -146.00 | GiY = -97.00 | GiZ = 0.00 | Tiempo: 10166
AcX = 4115.00 | AcY = -112.00 | AcZ = 394.00 | GiX = -143.00 | GiY = -81.00 | GiZ = -13.00 | Tiempo: 10764
AcX = 4122.00 | AcY = -124.00 | AcZ = 405.00 | GiX = -143.00 | GiY = -97.00 | GiZ = -2.00 | Tiempo: 11362
AcX = 4116.00 | AcY = -113.00 | AcZ = 423.00 | GiX = -133.00 | GiY = -86.00 | GiZ = 8.00 | Tiempo: 11960
AcX = 4098.00 | AcY = -119.00 | AcZ = 429.00 | GiX = -133.00 | GiY = -94.00 | GiZ = -7.00 | Tiempo: 12558
AcX = 4109.00 | AcY = -120.00 | AcZ = 427.00 | GiX = -147.00 | GiY = -95.00 | GiZ = 8.00 | Tiempo: 13156
AcX = 4107.00 | AcY = -121.00 | AcZ = 450.00 | GiX = -149.00 | GiY = -103.00 | GiZ = 3.00 | Tiempo: 13754
AcX = 4107.00 | AcY = -100.00 | AcZ = 406.00 | GiX = -128.00 | GiY = -98.00 | GiZ = 2.00 | Tiempo: 14352
AcX = 4115.00 | AcY = -130.00 | AcZ = 430.00 | GiX = -149.00 | GiY = -102.00 | GiZ = -8.00 | Tiempo: 14950
AcX = 4119.00 | AcY = -117.00 | AcZ = 407.00 | GiX = -131.00 | GiY = -74.00 | GiZ = 4.00 | Tiempo: 15548
AcX = 4115.00 | AcY = -111.00 | AcZ = 418.00 | GiX = -135.00 | GiY = -110.00 | GiZ = 3.00 | Tiempo: 16146
AcX = 4109.00 | AcY = -106.00 | AcZ = 415.00 | GiX = -144.00 | GiY = -77.00 | GiZ = 2.00 | Tiempo: 16744
AcX = 4114.00 | AcY = -116.00 | AcZ = 423.00 | GiX = -136.00 | GiY = -100.00 | GiZ = -6.00 | Tiempo: 17342
AcX = 4099.00 | AcY = -110.00 | AcZ = 406.00 | GiX = -141.00 | GiY = -81.00 | GiZ = -5.00 | Tiempo: 17940
AcX = 4096.00 | AcY = -98.00 | AcZ = 401.00 | GiX = -133.00 | GiY = -80.00 | GiZ = 3.00 | Tiempo: 18536
AcX = 4113.00 | AcY = -102.00 | AcZ = 434.00 | GiX = -129.00 | GiY = -100.00 | GiZ = -2.00 | Tiempo: 19134
AcX = 4117.00 | AcY = -130.00 | AcZ = 417.00 | GiX = -135.00 | GiY = -101.00 | GiZ = 4.00 | Tiempo: 19732
AcX = 4120.00 | AcY = -125.00 | AcZ = 407.00 | GiX = -151.00 | GiY = -101.00 | GiZ = -11.00 | Tiempo: 20330
AcX = 4105.00 | AcY = -113.00 | AcZ = 420.00 | GiX = -140.00 | GiY = -94.00 | GiZ = -7.00 | Tiempo: 20928
AcX = 4113.00 | AcY = -114.00 | AcZ = 420.00 | GiX = -153.00 | GiY = -91.00 | GiZ = 7.00 | Tiempo: 21526
AcX = 4105.00 | AcY = -118.00 | AcZ = 423.00 | GiX = -147.00 | GiY = -104.00 | GiZ = 9.00 | Tiempo: 22124
AcX = 4109.00 | AcY = -117.00 | AcZ = 436.00 | GiX = -126.00 | GiY = -87.00 | GiZ = 3.00 | Tiempo: 22722
AcX = 4124.00 | AcY = -104.00 | AcZ = 406.00 | GiX = -135.00 | GiY = -97.00 | GiZ = 2.00 | Tiempo: 23320
AcX = 4111.00 | AcY = -117.00 | AcZ = 437.00 | GiX = -135.00 | GiY = -92.00 | GiZ = 4.00 | Tiempo: 23918
AcX = 4104.00 | AcY = -115.00 | AcZ = 418.00 | GiX = -151.00 | GiY = -95.00 | GiZ = -3.00 | Tiempo: 24516
AcX = 4110.00 | AcY = -109.00 | AcZ = 431.00 | GiX = -141.00 | GiY = -89.00 | GiZ = 3.00 | Tiempo: 25114
AcX = 4121.00 | AcY = -111.00 | AcZ = 415.00 | GiX = -133.00 | GiY = -93.00 | GiZ = 2.00 | Tiempo: 25712
AcX = 4107.00 | AcY = -122.00 | AcZ = 436.00 | GiX = -143.00 | GiY = -111.00 | GiZ = -5.00 | Tiempo: 26310
AcX = 4110.00 | AcY = -118.00 | AcZ = 420.00 | GiX = -145.00 | GiY = -84.00 | GiZ = 2.00 | Tiempo: 26908
AcX = 4118.00 | AcY = -116.00 | AcZ = 402.00 | GiX = -148.00 | GiY = -95.00 | GiZ = 3.00 | Tiempo: 27506
AcX = 4101.00 | AcY = -113.00 | AcZ = 426.00 | GiX = -138.00 | GiY = -98.00 | GiZ = -2.00 | Tiempo: 28104
AcX = 4109.00 | AcY = -109.00 | AcZ = 418.00 | GiX = -148.00 | GiY = -108.00 | GiZ = -2.00 | Tiempo: 28702
AcX = 4118.00 | AcY = -103.00 | AcZ = 421.00 | GiX = -138.00 | GiY = -80.00 | GiZ = 5.00 | Tiempo: 29300
AcX = 4105.00 | AcY = -120.00 | AcZ = 415.00 | GiX = -150.00 | GiY = -105.00 | GiZ = 8.00 | Tiempo: 29898
AcX = 4116.00 | AcY = -116.00 | AcZ = 417.00 | GiX = -140.00 | GiY = -93.00 | GiZ = -6.00 | Tiempo: 30496
AcX = 4109.00 | AcY = -130.00 | AcZ = 432.00 | GiX = -119.00 | GiY = -99.00 | GiZ = -6.00 | Tiempo: 31094
AcX = 4107.00 | AcY = -109.00 | AcZ = 416.00 | GiX = -152.00 | GiY = -89.00 | GiZ = -2.00 | Tiempo: 31692
AcX = 4090.00 | AcY = -103.00 | AcZ = 411.00 | GiX = -148.00 | GiY = -94.00 | GiZ = -7.00 | Tiempo: 32290
