Offset MPU6050
Tiempo total: 823 (500 muestras)
Offset AcX = 16300.28 | Offset AcY = 116.62 | Offset AcZ = -65.02
Offset GiX = -267.88 | Offset GiY = -183.02 | Offset GiZ = -0.45
Resultados MPU6050
AcX = 16520.00 | AcY = 144.00 | AcZ = -140.00 | GiX = -265.00 | GiY = -206.00 | GiZ = -6.00 | Tiempo: 1648
AcX = 16416.00 | AcY = 64.00 | AcZ = -64.00 | GiX = -262.00 | GiY = -150.00 | GiZ = -12.00 | Tiempo: 3292
AcX = 16448.00 | AcY = 132.00 | AcZ = -104.00 | GiX = -266.00 | GiY = -199.00 | GiZ = -51.00 | Tiempo: 4936
AcX = 16428.00 | AcY = 104.00 | AcZ = 80.00 | GiX = -246.00 | GiY = -243.00 | GiZ = -11.00 | Tiempo: 6580
AcX = 16460.00 | AcY = 112.00 | AcZ = -148.00 | GiX = -263.00 | GiY = -174.00 | GiZ = -12.00 | Tiempo: 8224
AcX = 16488.00 | AcY = 72.00 | AcZ = -88.00 | GiX = -294.00 | GiY = -177.00 | GiZ = -2.00 | Tiempo: 9868
AcX = 16452.00 | AcY = 136.00 | AcZ = -52.00 | GiX = -251.00 | GiY = -158.00 | GiZ = 3.00 | Tiempo: 11512
AcX = 16448.00 | AcY = 132.00 | AcZ = 60.00 | GiX = -271.00 | GiY = -215.00 | GiZ = 24.00 | Tiempo: 13156
AcX = 16432.00 | AcY = 124.00 | AcZ = -96.00 | GiX = -265.00 | GiY = -166.00 | GiZ = -29.00 | Tiempo: 14800
AcX = 16368.00 | AcY = 72.00 | AcZ = -64.00 | GiX = -241.00 | GiY = -202.00 | GiZ = 0.00 | Tiempo: 16444
AcX = 16324.00 | AcY = 60.00 | AcZ = -20.00 | GiX = -279.00 | GiY = -182.00 | GiZ = -20.00 | Tiempo: 18088
AcX = 16476.00 | AcY = 80.00 | AcZ = -28.00 | GiX = -296.00 | GiY = -178.00 | GiZ = 2.00 | Tiempo: 19732
AcX = 16404.00 | AcY = 84.00 | AcZ = -32.00 | GiX = -267.00 | GiY = -156.00 | GiZ = -1.00 | Tiempo: 21376
AcX = 16484.00 | AcY = 200.00 | AcZ = -24.00 | GiX = -262.00 | GiY = -218.00 | GiZ = 26.00 | Tiempo: 23021
AcX = 16424.00 | AcY = 100.00 | AcZ = -24.00 | GiX = -276.00 | GiY = -201.00 | GiZ = -16.00 | Tiempo: 24665
AcX = 16452.00 | AcY = 132.00 | AcZ = -8.00 | GiX = -269.00 | GiY = -207.00 | GiZ = -8.00 | Tiempo: 26309
AcX = 16388.00 | AcY = 96.00 | AcZ = -152.00 | GiX = -260.00 | GiY = -188.00 | GiZ = 5.00 | Tiempo: 27953
AcX = 16380.00 | AcY = 88.00 | AcZ = 8.00 | GiX = -293.00 | GiY = -196.00 | GiZ = 3.00 | Tiempo: 29597
AcX = 16368.00 | AcY = 60.00 | AcZ = -76.00 | GiX = -282.00 | GiY = -192.00 | GiZ = -27.00 | Tiempo: 31241
AcX = 16440.00 | AcY = 100.00 | AcZ = 12.00 | GiX = -261.00 | GiY = -220.00 | GiZ = 12.00 | Tiempo: 32885
AcX = 16436.00 | AcY = 180.00 | AcZ = -100.00 | GiX = -285.00 | GiY = -190.00 | GiZ = 3.00 | Tiempo: 34529
AcX = 16448.00 | AcY = 120.00 | AcZ = -160.00 | GiX = -280.00 | GiY = -151.00 | GiZ = 8.00 | Tiempo: 36173
