Offset MPU6050
Tiempo total: 1002
Offset AcX = -13.51 | Offset AcY = 2031.55 | Offset AcZ = 64.69
Offset GiX = -18.70 | Offset GiY = -8.49 | Offset GiZ = 23.50
Resultados MPU6050
AcX = -13.00 | AcY = 2026.00 | AcZ = 55.00 | GiX = -24.00 | GiY = -29.00 | GiZ = 18.00 | Tiempo: 510
AcX = 11.00 | AcY = 2030.00 | AcZ = 66.00 | GiX = -32.00 | GiY = -18.00 | GiZ = 22.00 | Tiempo: 1005
AcX = 32.00 | AcY = 2040.00 | AcZ = 75.00 | GiX = -28.00 | GiY = -24.00 | GiZ = 14.00 | Tiempo: 1500
AcX = 24.00 | AcY = 2028.00 | AcZ = 62.00 | GiX = -21.00 | GiY = -38.00 | GiZ = 2.00 | Tiempo: 1995
AcX = 5.00 | AcY = 2020.00 | AcZ = 52.00 | GiX = -21.00 | GiY = -38.00 | GiZ = 4.00 | Tiempo: 2490
AcX = 7.00 | AcY = 2020.00 | AcZ = 49.00 | GiX = -17.00 | GiY = -28.00 | GiZ = 4.00 | Tiempo: 2985
AcX = 16.00 | AcY = 2021.00 | AcZ = 48.00 | GiX = -22.00 | GiY = -26.00 | GiZ = 12.00 | Tiempo: 3480
AcX = 13.00 | AcY = 2018.00 | AcZ = 52.00 | GiX = -28.00 | GiY = -32.00 | GiZ = 23.00 | Tiempo: 3975
AcX = -3.00 | AcY = 2025.00 | AcZ = 57.00 | GiX = -30.00 | GiY = -36.00 | GiZ = 27.00 | Tiempo: 4470
AcX = 1.00 | AcY = 2026.00 | AcZ = 53.00 | GiX = -27.00 | GiY = -38.00 | GiZ = 27.00 | Tiempo: 4965
AcX = 5.00 | AcY = 2013.00 | AcZ = 32.00 | GiX = -21.00 | GiY = -29.00 | GiZ = 21.00 | Tiempo: 5460
AcX = 5.00 | AcY = 1992.00 | AcZ = 25.00 | GiX = -21.00 | GiY = -13.00 | GiZ = 12.00 | Tiempo: 5955
AcX = 32.00 | AcY = 1995.00 | AcZ = 39.00 | GiX = -34.00 | GiY = 4.00 | GiZ = 6.00 | Tiempo: 6450
AcX = 50.00 | AcY = 2002.00 | AcZ = 61.00 | GiX = -39.00 | GiY = -1.00 | GiZ = 1.00 | Tiempo: 6945
AcX = 30.00 | AcY = 2027.00 | AcZ = 65.00 | GiX = -44.00 | GiY = -27.00 | GiZ = -4.00 | Tiempo: 7440
AcX = 9.00 | AcY = 2037.00 | AcZ = 51.00 | GiX = -43.00 | GiY = -31.00 | GiZ = 2.00 | Tiempo: 7935
AcX = 6.00 | AcY = 2048.00 | AcZ = 53.00 | GiX = -38.00 | GiY = -18.00 | GiZ = 11.00 | Tiempo: 8430
AcX = 14.00 | AcY = 2047.00 | AcZ = 59.00 | GiX = -30.00 | GiY = -18.00 | GiZ = 6.00 | Tiempo: 8925
