Offset MPU6050
Tiempo total: 1002
Offset AcX = 543.48 | Offset AcY = 8050.60 | Offset AcZ = 1293.61
Offset GiX = -134.91 | Offset GiY = -107.39 | Offset GiZ = -9.11
Resultados MPU6050
AcX = 502.00 | AcY = 7936.00 | AcZ = 1212.00 | GiX = -52.00 | GiY = -99.00 | GiZ = 15.00 | Tiempo: 510
AcX = 536.00 | AcY = 7958.00 | AcZ = 1252.00 | GiX = -81.00 | GiY = -112.00 | GiZ = 22.00 | Tiempo: 1005
AcX = 534.00 | AcY = 7990.00 | AcZ = 1252.00 | GiX = -137.00 | GiY = -126.00 | GiZ = 11.00 | Tiempo: 1500
AcX = 534.00 | AcY = 7976.00 | AcZ = 1210.00 | GiX = -150.00 | GiY = -120.00 | GiZ = -3.00 | Tiempo: 1995
AcX = 542.00 | AcY = 7940.00 | AcZ = 1308.00 | GiX = -135.00 | GiY = -113.00 | GiZ = -13.00 | Tiempo: 2490
AcX = 500.00 | AcY = 8038.00 | AcZ = 1288.00 | GiX = -166.00 | GiY = -87.00 | GiZ = 4.00 | Tiempo: 2985
AcX = 496.00 | AcY = 8046.00 | AcZ = 1308.00 | GiX = -158.00 | GiY = -58.00 | GiZ = 15.00 | Tiempo: 3480
AcX = 528.00 | AcY = 8048.00 | AcZ = 1334.00 | GiX = -155.00 | GiY = -74.00 | GiZ = -7.00 | Tiempo: 3975
AcX = 526.00 | AcY = 8048.00 | AcZ = 1358.00 | GiX = -144.00 | GiY = -90.00 | GiZ = -24.00 | Tiempo: 4470
AcX = 530.00 | AcY = 8064.00 | AcZ = 1290.00 | GiX = -103.00 | GiY = -92.00 | GiZ = -26.00 | Tiempo: 4965
AcX = 532.00 | AcY = 8062.00 | AcZ = 1328.00 | GiX = -118.00 | GiY = -89.00 | GiZ = -57.00 | Tiempo: 5460
AcX = 554.00 | AcY = 8082.00 | AcZ = 1316.00 | GiX = -115.00 | GiY = -85.00 | GiZ = -61.00 | Tiempo: 5955
AcX = 556.00 | AcY = 8086.00 | AcZ = 1326.00 | GiX = -96.00 | GiY = -91.00 | GiZ = -74.00 | Tiempo: 6450
AcX = 482.00 | AcY = 8046.00 | AcZ = 1328.00 | GiX = -96.00 | GiY = -89.00 | GiZ = -74.00 | Tiempo: 6945
AcX = 510.00 | AcY = 8048.00 | AcZ = 1250.00 | GiX = -93.00 | GiY = -81.00 | GiZ = -65.00 | Tiempo: 7440
AcX = 532.00 | AcY = 8024.00 | AcZ = 1270.00 | GiX = -88.00 | GiY = -45.00 | GiZ = -49.00 | Tiempo: 7935
AcX = 586.00 | AcY = 8012.00 | AcZ = 1320.00 | GiX = -112.00 | GiY = -58.00 | GiZ = -52.00 | Tiempo: 8430
AcX = 600.00 | AcY = 8064.00 | AcZ = 1276.00 | GiX = -106.00 | GiY = -99.00 | GiZ = -78.00 | Tiempo: 8925
AcX = 532.00 | AcY = 8078.00 | AcZ = 1310.00 | GiX = -111.00 | GiY = -134.00 | GiZ = -76.00 | Tiempo: 9420
AcX = 506.00 | AcY = 8034.00 | AcZ = 1304.00 | GiX = -120.00 | GiY = -147.00 | GiZ = -69.00 | Tiempo: 9915
AcX = 406.00 | AcY = 8110.00 | AcZ = 1290.00 | GiX = -156.00 | GiY = -170.00 | GiZ = -65.00 | Tiempo: 10410
AcX = 386.00 | AcY = 8158.00 | AcZ = 1242.00 | GiX = -159.00 | GiY = -96.00 | GiZ = -24.00 | Tiempo: 10905
AcX = 460.00 | AcY = 8120.00 | AcZ = 1338.00 | GiX = -140.00 | GiY = -32.00 | GiZ = 30.00 | Tiempo: 11400
AcX = 546.00 | AcY = 8102.00 | AcZ = 1278.00 | GiX = -113.00 | GiY = -17.00 | GiZ = 40.00 | Tiempo: 11895
AcX = 630.00 | AcY = 8096.00 | AcZ = 1304.00 | GiX = -38.00 | GiY = -38.00 | GiZ = 14.00 | Tiempo: 12390
AcX = 624.00 | AcY = 8032.00 | AcZ = 1264.00 | GiX = 2.00 | GiY = -86.00 | GiZ = -55.00 | Tiempo: 12885
AcX = 616.00 | AcY = 7942.00 | AcZ = 1242.00 | GiX = -6.00 | GiY = -125.00 | GiZ = -85.00 | Tiempo: 13380
AcX = 530.00 | AcY = 7958.00 | AcZ = 1224.00 | GiX = -96.00 | GiY = -117.00 | GiZ = -78.00 | Tiempo: 13875
AcX = 518.00 | AcY = 7934.00 | AcZ = 1166.00 | GiX = -132.00 | GiY = -80.00 | GiZ = -33.00 | Tiempo: 14370
AcX = 508.00 | AcY = 8008.00 | AcZ = 1246.00 | GiX = -178.00 | GiY = -74.00 | GiZ = -38.00 | Tiempo: 14865
AcX = 528.00 | AcY = 8116.00 | AcZ = 1288.00 | GiX = -167.00 | GiY = -97.00 | GiZ = -18.00 | Tiempo: 15360
AcX = 508.00 | AcY = 8112.00 | AcZ = 1252.00 | GiX = -132.00 | GiY = -134.00 | GiZ = -39.00 | Tiempo: 15855
AcX = 466.00 | AcY = 8116.00 | AcZ = 1282.00 | GiX = -136.00 | GiY = -116.00 | GiZ = -57.00 | Tiempo: 16350
AcX = 434.00 | AcY = 8120.00 | AcZ = 1272.00 | GiX = -130.00 | GiY = -55.00 | GiZ = -29.00 | Tiempo: 16845
AcX = 508.00 | AcY = 8164.00 | AcZ = 1310.00 | GiX = -118.00 | GiY = -40.00 | GiZ = 23.00 | Tiempo: 17340
AcX = 558.00 | AcY = 8162.00 | AcZ = 1358.00 | GiX = -93.00 | GiY = -52.00 | GiZ = 10.00 | Tiempo: 17835
AcX = 538.00 | AcY = 8154.00 | AcZ = 1352.00 | GiX = -58.00 | GiY = -104.00 | GiZ = 16.00 | Tiempo: 18330
AcX = 520.00 | AcY = 8058.00 | AcZ = 1258.00 | GiX = -31.00 | GiY = -97.00 | GiZ = 15.00 | Tiempo: 18825
AcX = 536.00 | AcY = 7988.00 | AcZ = 1266.00 | GiX = -33.00 | GiY = -82.00 | GiZ = -4.00 | Tiempo: 19320
AcX = 546.00 | AcY = 8000.00 | AcZ = 1270.00 | GiX = -46.00 | GiY = -79.00 | GiZ = 11.00 | Tiempo: 19815
AcX = 598.00 | AcY = 7968.00 | AcZ = 1312.00 | GiX = -79.00 | GiY = -82.00 | GiZ = -30.00 | Tiempo: 20310
AcX = 608.00 | AcY = 7984.00 | AcZ = 1260.00 | GiX = -101.00 | GiY = -116.00 | GiZ = -46.00 | Tiempo: 20805
AcX = 514.00 | AcY = 8040.00 | AcZ = 1330.00 | GiX = -108.00 | GiY = -134.00 | GiZ = -64.00 | Tiempo: 21300
AcX = 528.00 | AcY = 8064.00 | AcZ = 1290.00 | GiX = -98.00 | GiY = -106.00 | GiZ = -64.00 | Tiempo: 21795
AcX = 526.00 | AcY = 8130.00 | AcZ = 1320.00 | GiX = -56.00 | GiY = -125.00 | GiZ = -86.00 | Tiempo: 22290
AcX = 564.00 | AcY = 8142.00 | AcZ = 1290.00 | GiX = -33.00 | GiY = -81.00 | GiZ = -91.00 | Tiempo: 22785
AcX = 648.00 | AcY = 8120.00 | AcZ = 1262.00 | GiX = 10.00 | GiY = -71.00 | GiZ = -104.00 | Tiempo: 23280
AcX = 712.00 | AcY = 8116.00 | AcZ = 1272.00 | GiX = 38.00 | GiY = -109.00 | GiZ = -147.00 | Tiempo: 23775
AcX = 704.00 | AcY = 8090.00 | AcZ = 1240.00 | GiX = 90.00 | GiY = -154.00 | GiZ = -155.00 | Tiempo: 24270
AcX = 700.00 | AcY = 8006.00 | AcZ = 1222.00 | GiX = 76.00 | GiY = -168.00 | GiZ = -177.00 | Tiempo: 24765
AcX = 598.00 | AcY = 8026.00 | AcZ = 1106.00 | GiX = 36.00 | GiY = -150.00 | GiZ = -181.00 | Tiempo: 25260
AcX = 586.00 | AcY = 8042.00 | AcZ = 1178.00 | GiX = 11.00 | GiY = -127.00 | GiZ = -149.00 | Tiempo: 25755
AcX = 564.00 | AcY = 8104.00 | AcZ = 1208.00 | GiX = -30.00 | GiY = -86.00 | GiZ = -119.00 | Tiempo: 26250
AcX = 558.00 | AcY = 8142.00 | AcZ = 1186.00 | GiX = -51.00 | GiY = -92.00 | GiZ = -90.00 | Tiempo: 26745
AcX = 600.00 | AcY = 8162.00 | AcZ = 1206.00 | GiX = -41.00 | GiY = -67.00 | GiZ = -58.00 | Tiempo: 27240
AcX = 566.00 | AcY = 8186.00 | AcZ = 1286.00 | GiX = -29.00 | GiY = -59.00 | GiZ = -34.00 | Tiempo: 27735
AcX = 622.00 | AcY = 8222.00 | AcZ = 1266.00 | GiX = 4.00 | GiY = -37.00 | GiZ = -5.00 | Tiempo: 28230
AcX = 588.00 | AcY = 8182.00 | AcZ = 1150.00 | GiX = 19.00 | GiY = -57.00 | GiZ = 10.00 | Tiempo: 28725
AcX = 594.00 | AcY = 8158.00 | AcZ = 1110.00 | GiX = 19.00 | GiY = -51.00 | GiZ = 19.00 | Tiempo: 29220
AcX = 568.00 | AcY = 8136.00 | AcZ = 1080.00 | GiX = 29.00 | GiY = -42.00 | GiZ = 49.00 | Tiempo: 29715
AcX = 572.00 | AcY = 8070.00 | AcZ = 1012.00 | GiX = 74.00 | GiY = 18.00 | GiZ = 79.00 | Tiempo: 30210
AcX = 538.00 | AcY = 7968.00 | AcZ = 952.00 | GiX = 88.00 | GiY = 99.00 | GiZ = 88.00 | Tiempo: 30705
AcX = 342.00 | AcY = 7930.00 | AcZ = 850.00 | GiX = 26.00 | GiY = 162.00 | GiZ = 119.00 | Tiempo: 31200
AcX = 400.00 | AcY = 7956.00 | AcZ = 954.00 | GiX = 55.00 | GiY = 321.00 | GiZ = 114.00 | Tiempo: 31695
AcX = 660.00 | AcY = 7806.00 | AcZ = 882.00 | GiX = 109.00 | GiY = 573.00 | GiZ = 184.00 | Tiempo: 32190
AcX = 986.00 | AcY = 7622.00 | AcZ = 1066.00 | GiX = 41.00 | GiY = 664.00 | GiZ = 122.00 | Tiempo: 32685
AcX = 1120.00 | AcY = 7652.00 | AcZ = 1180.00 | GiX = -10.00 | GiY = 366.00 | GiZ = -42.00 | Tiempo: 33180
AcX = 1064.00 | AcY = 7654.00 | AcZ = 1040.00 | GiX = -26.00 | GiY = 329.00 | GiZ = -166.00 | Tiempo: 33675
AcX = 986.00 | AcY = 7718.00 | AcZ = 1248.00 | GiX = -99.00 | GiY = 222.00 | GiZ = -226.00 | Tiempo: 34170
AcX = 870.00 | AcY = 7844.00 | AcZ = 1064.00 | GiX = -116.00 | GiY = 261.00 | GiZ = -279.00 | Tiempo: 34665
AcX = 856.00 | AcY = 7968.00 | AcZ = 1170.00 | GiX = -26.00 | GiY = 316.00 | GiZ = -313.00 | Tiempo: 35160
AcX = 838.00 | AcY = 7926.00 | AcZ = 1074.00 | GiX = 53.00 | GiY = 310.00 | GiZ = -358.00 | Tiempo: 35655
AcX = 864.00 | AcY = 7876.00 | AcZ = 1104.00 | GiX = 96.00 | GiY = 376.00 | GiZ = -400.00 | Tiempo: 36150
AcX = 830.00 | AcY = 7850.00 | AcZ = 1112.00 | GiX = 113.00 | GiY = 316.00 | GiZ = -417.00 | Tiempo: 36645
AcX = 778.00 | AcY = 7816.00 | AcZ = 1016.00 | GiX = 140.00 | GiY = 356.00 | GiZ = -438.00 | Tiempo: 37140
AcX = 750.00 | AcY = 7728.00 | AcZ = 1114.00 | GiX = 84.00 | GiY = 343.00 | GiZ = -462.00 | Tiempo: 37635
AcX = 726.00 | AcY = 7788.00 | AcZ = 1012.00 | GiX = 18.00 | GiY = 442.00 | GiZ = -472.00 | Tiempo: 38130
AcX = 716.00 | AcY = 7808.00 | AcZ = 994.00 | GiX = -17.00 | GiY = 383.00 | GiZ = -479.00 | Tiempo: 38625
AcX = 730.00 | AcY = 7800.00 | AcZ = 1032.00 | GiX = -54.00 | GiY = 410.00 | GiZ = -579.00 | Tiempo: 39120
AcX = 706.00 | AcY = 7930.00 | AcZ = 1048.00 | GiX = -44.00 | GiY = 432.00 | GiZ = -661.00 | Tiempo: 39615
AcX = 734.00 | AcY = 7990.00 | AcZ = 1098.00 | GiX = -15.00 | GiY = 411.00 | GiZ = -728.00 | Tiempo: 40110
AcX = 602.00 | AcY = 8070.00 | AcZ = 1050.00 | GiX = -10.00 | GiY = 381.00 | GiZ = -748.00 | Tiempo: 40605
AcX = 498.00 | AcY = 8008.00 | AcZ = 1072.00 | GiX = 22.00 | GiY = 481.00 | GiZ = -788.00 | Tiempo: 41100
AcX = 568.00 | AcY = 8026.00 | AcZ = 1096.00 | GiX = 18.00 | GiY = 594.00 | GiZ = -794.00 | Tiempo: 41595
AcX = 704.00 | AcY = 8042.00 | AcZ = 1192.00 | GiX = -9.00 | GiY = 587.00 | GiZ = -767.00 | Tiempo: 42090
AcX = 774.00 | AcY = 8042.00 | AcZ = 1328.00 | GiX = 19.00 | GiY = 487.00 | GiZ = -773.00 | Tiempo: 42585
AcX = 654.00 | AcY = 8114.00 | AcZ = 1376.00 | GiX = 62.00 | GiY = 413.00 | GiZ = -774.00 | Tiempo: 43080
AcX = 510.00 | AcY = 8140.00 | AcZ = 1298.00 | GiX = 188.00 | GiY = 396.00 | GiZ = -653.00 | Tiempo: 43575
AcX = 520.00 | AcY = 7938.00 | AcZ = 1100.00 | GiX = 297.00 | GiY = 671.00 | GiZ = -621.00 | Tiempo: 44070
AcX = 686.00 | AcY = 7888.00 | AcZ = 1252.00 | GiX = 293.00 | GiY = 788.00 | GiZ = -692.00 | Tiempo: 44565
AcX = 908.00 | AcY = 7770.00 | AcZ = 1260.00 | GiX = 324.00 | GiY = 772.00 | GiZ = -860.00 | Tiempo: 45060
AcX = 994.00 | AcY = 7760.00 | AcZ = 1292.00 | GiX = 372.00 | GiY = 742.00 | GiZ = -985.00 | Tiempo: 45555
AcX = 952.00 | AcY = 7690.00 | AcZ = 1316.00 | GiX = 409.00 | GiY = 721.00 | GiZ = -1269.00 | Tiempo: 46050
AcX = 798.00 | AcY = 7550.00 | AcZ = 1048.00 | GiX = 405.00 | GiY = 987.00 | GiZ = -1683.00 | Tiempo: 46545
AcX = 960.00 | AcY = 7662.00 | AcZ = 1244.00 | GiX = 375.00 | GiY = 1012.00 | GiZ = -1950.00 | Tiempo: 47040
AcX = 1020.00 | AcY = 7636.00 | AcZ = 1026.00 | GiX = 351.00 | GiY = 1168.00 | GiZ = -1965.00 | Tiempo: 47535
AcX = 1182.00 | AcY = 7582.00 | AcZ = 1202.00 | GiX = 309.00 | GiY = 1107.00 | GiZ = -1948.00 | Tiempo: 48030
AcX = 1238.00 | AcY = 7426.00 | AcZ = 906.00 | GiX = 173.00 | GiY = 1117.00 | GiZ = -1867.00 | Tiempo: 48525
AcX = 1278.00 | AcY = 7376.00 | AcZ = 1248.00 | GiX = -2.00 | GiY = 883.00 | GiZ = -1888.00 | Tiempo: 49020
AcX = 1030.00 | AcY = 7410.00 | AcZ = 1072.00 | GiX = -187.00 | GiY = 760.00 | GiZ = -1918.00 | Tiempo: 49515
AcX = 804.00 | AcY = 7538.00 | AcZ = 1158.00 | GiX = -334.00 | GiY = 912.00 | GiZ = -1977.00 | Tiempo: 50010
AcX = 654.00 | AcY = 7816.00 | AcZ = 738.00 | GiX = -236.00 | GiY = 1531.00 | GiZ = -2256.00 | Tiempo: 50505
AcX = 962.00 | AcY = 7682.00 | AcZ = 1200.00 | GiX = -1.00 | GiY = 1860.00 | GiZ = -2375.00 | Tiempo: 51000
AcX = 1072.00 | AcY = 7530.00 | AcZ = 1340.00 | GiX = 39.00 | GiY = 1905.00 | GiZ = -2562.00 | Tiempo: 51495
AcX = 1106.00 | AcY = 7652.00 | AcZ = 1242.00 | GiX = 107.00 | GiY = 2318.00 | GiZ = -2943.00 | Tiempo: 51990
AcX = 1530.00 | AcY = 7338.00 | AcZ = 2294.00 | GiX = 555.00 | GiY = 2667.00 | GiZ = -3496.00 | Tiempo: 52485
AcX = 1440.00 | AcY = 7082.00 | AcZ = 1638.00 | GiX = 714.00 | GiY = 3033.00 | GiZ = -3973.00 | Tiempo: 52980
AcX = 2580.00 | AcY = 6872.00 | AcZ = 2326.00 | GiX = 918.00 | GiY = 3732.00 | GiZ = -4148.00 | Tiempo: 53475
AcX = 3772.00 | AcY = 6578.00 | AcZ = 2750.00 | GiX = 830.00 | GiY = 3679.00 | GiZ = -4665.00 | Tiempo: 53970
AcX = 4748.00 | AcY = 6956.00 | AcZ = 3430.00 | GiX = 1182.00 | GiY = 2267.00 | GiZ = -5229.00 | Tiempo: 54465
AcX = 4298.00 | AcY = 6862.00 | AcZ = 2832.00 | GiX = 1620.00 | GiY = 456.00 | GiZ = -5750.00 | Tiempo: 54960
AcX = 3238.00 | AcY = 6454.00 | AcZ = 2692.00 | GiX = 1890.00 | GiY = -627.00 | GiZ = -6235.00 | Tiempo: 55455
AcX = 2382.00 | AcY = 6498.00 | AcZ = 1862.00 | GiX = 2217.00 | GiY = -385.00 | GiZ = -6667.00 | Tiempo: 55950
AcX = 2158.00 | AcY = 6272.00 | AcZ = 2296.00 | GiX = 2531.00 | GiY = -594.00 | GiZ = -6947.00 | Tiempo: 56445
AcX = 1738.00 | AcY = 6210.00 | AcZ = 1750.00 | GiX = 2734.00 | GiY = -659.00 | GiZ = -7410.00 | Tiempo: 56940
AcX = 1422.00 | AcY = 6198.00 | AcZ = 1670.00 | GiX = 2948.00 | GiY = -856.00 | GiZ = -7785.00 | Tiempo: 57435
AcX = 524.00 | AcY = 5912.00 | AcZ = 1028.00 | GiX = 3048.00 | GiY = -908.00 | GiZ = -8060.00 | Tiempo: 57930
AcX = 86.00 | AcY = 5982.00 | AcZ = 1024.00 | GiX = 3099.00 | GiY = -619.00 | GiZ = -8408.00 | Tiempo: 58425
AcX = -378.00 | AcY = 5720.00 | AcZ = 910.00 | GiX = 3208.00 | GiY = 78.00 | GiZ = -8373.00 | Tiempo: 58920
AcX = -216.00 | AcY = 5518.00 | AcZ = 744.00 | GiX = 3233.00 | GiY = 790.00 | GiZ = -8309.00 | Tiempo: 59415
AcX = 164.00 | AcY = 5312.00 | AcZ = 794.00 | GiX = 3457.00 | GiY = 1282.00 | GiZ = -8325.00 | Tiempo: 59910
AcX = 714.00 | AcY = 4870.00 | AcZ = 1062.00 | GiX = 3748.00 | GiY = 1699.00 | GiZ = -8437.00 | Tiempo: 60405
AcX = 1206.00 | AcY = 4504.00 | AcZ = 1000.00 | GiX = 4039.00 | GiY = 1324.00 | GiZ = -8459.00 | Tiempo: 60900
AcX = 1358.00 | AcY = 4152.00 | AcZ = 1146.00 | GiX = 4270.00 | GiY = 831.00 | GiZ = -8402.00 | Tiempo: 61395
AcX = 1060.00 | AcY = 3586.00 | AcZ = 948.00 | GiX = 4288.00 | GiY = 46.00 | GiZ = -8409.00 | Tiempo: 61890
AcX = 656.00 | AcY = 3032.00 | AcZ = 788.00 | GiX = 4264.00 | GiY = -295.00 | GiZ = -8653.00 | Tiempo: 62385
AcX = 324.00 | AcY = 2692.00 | AcZ = 254.00 | GiX = 4353.00 | GiY = -295.00 | GiZ = -8923.00 | Tiempo: 62880
AcX = -92.00 | AcY = 1980.00 | AcZ = -180.00 | GiX = 4337.00 | GiY = 399.00 | GiZ = -9224.00 | Tiempo: 63375
AcX = 192.00 | AcY = 1598.00 | AcZ = -592.00 | GiX = 4507.00 | GiY = 1167.00 | GiZ = -9408.00 | Tiempo: 63870
AcX = 846.00 | AcY = 572.00 | AcZ = -688.00 | GiX = 4690.00 | GiY = 1683.00 | GiZ = -9625.00 | Tiempo: 64365
AcX = 1426.00 | AcY = -212.00 | AcZ = -700.00 | GiX = 4631.00 | GiY = 1865.00 | GiZ = -9947.00 | Tiempo: 64860
AcX = 2640.00 | AcY = -100.00 | AcZ = -564.00 | GiX = 4409.00 | GiY = 2040.00 | GiZ = -10486.00 | Tiempo: 65355
AcX = 2344.00 | AcY = -1764.00 | AcZ = 8.00 | GiX = 4770.00 | GiY = 632.00 | GiZ = -10852.00 | Tiempo: 65850
AcX = 1178.00 | AcY = -2768.00 | AcZ = -2614.00 | GiX = 3541.00 | GiY = 1770.00 | GiZ = -11419.00 | Tiempo: 66345
AcX = 2092.00 | AcY = -2042.00 | AcZ = 680.00 | GiX = 1746.00 | GiY = 279.00 | GiZ = -11517.00 | Tiempo: 66840
AcX = 2368.00 | AcY = -376.00 | AcZ = -1670.00 | GiX = 703.00 | GiY = 266.00 | GiZ = -11030.00 | Tiempo: 67335
AcX = 3972.00 | AcY = -166.00 | AcZ = 556.00 | GiX = 1249.00 | GiY = -2336.00 | GiZ = -11167.00 | Tiempo: 67830
AcX = 3760.00 | AcY = -1826.00 | AcZ = -2248.00 | GiX = 1636.00 | GiY = -2816.00 | GiZ = -11859.00 | Tiempo: 68325
AcX = 3382.00 | AcY = -3334.00 | AcZ = -1482.00 | GiX = 896.00 | GiY = -4612.00 | GiZ = -13233.00 | Tiempo: 68820
