Offset MPU6050
Tiempo total: 1002
Offset AcX = 366.83 | Offset AcY = 4039.03 | Offset AcZ = 342.28
Offset GiX = -65.11 | Offset GiY = -37.98 | Offset GiZ = 5.20
Resultados MPU6050
AcX = 354.00 | AcY = 4034.00 | AcZ = 320.00 | GiX = -128.00 | GiY = -50.00 | GiZ = -6.00 | Tiempo: 510
AcX = 350.00 | AcY = 4073.00 | AcZ = 345.00 | GiX = -115.00 | GiY = -38.00 | GiZ = -18.00 | Tiempo: 1005
AcX = 342.00 | AcY = 4069.00 | AcZ = 377.00 | GiX = -90.00 | GiY = -44.00 | GiZ = -25.00 | Tiempo: 1500
AcX = 323.00 | AcY = 4121.00 | AcZ = 360.00 | GiX = -81.00 | GiY = -32.00 | GiZ = -15.00 | Tiempo: 1995
AcX = 308.00 | AcY = 4141.00 | AcZ = 374.00 | GiX = -63.00 | GiY = -6.00 | GiZ = 1.00 | Tiempo: 2490
AcX = 335.00 | AcY = 4119.00 | AcZ = 385.00 | GiX = -51.00 | GiY = -8.00 | GiZ = 9.00 | Tiempo: 2985
AcX = 351.00 | AcY = 4126.00 | AcZ = 408.00 | GiX = -35.00 | GiY = -3.00 | GiZ = 14.00 | Tiempo: 3480
AcX = 355.00 | AcY = 4098.00 | AcZ = 361.00 | GiX = -26.00 | GiY = 9.00 | GiZ = 34.00 | Tiempo: 3975
AcX = 399.00 | AcY = 4066.00 | AcZ = 361.00 | GiX = -11.00 | GiY = -7.00 | GiZ = 54.00 | Tiempo: 4470
AcX = 415.00 | AcY = 4042.00 | AcZ = 403.00 | GiX = -29.00 | GiY = -38.00 | GiZ = 58.00 | Tiempo: 4965
AcX = 412.00 | AcY = 4031.00 | AcZ = 364.00 | GiX = -50.00 | GiY = -85.00 | GiZ = 53.00 | Tiempo: 5460
AcX = 367.00 | AcY = 4031.00 | AcZ = 372.00 | GiX = -59.00 | GiY = -74.00 | GiZ = 42.00 | Tiempo: 5955
AcX = 390.00 | AcY = 4036.00 | AcZ = 355.00 | GiX = -54.00 | GiY = -40.00 | GiZ = 27.00 | Tiempo: 6450
