Offset MPU6050
Tiempo total: 1001
Offset AcX = 895.13 | Offset AcY = 3961.74 | Offset AcZ = 247.57
Offset GiX = -307.53 | Offset GiY = 9.32 | Offset GiZ = 13.84
Resultados MPU6050
AcX = 899.00 | AcY = 3978.00 | AcZ = 236.00 | GiX = -310.00 | GiY = -56.00 | GiZ = -55.00 | Tiempo: 510
AcX = 898.00 | AcY = 3966.00 | AcZ = 235.00 | GiX = -315.00 | GiY = -54.00 | GiZ = -2.00 | Tiempo: 1005
AcX = 889.00 | AcY = 3956.00 | AcZ = 225.00 | GiX = -375.00 | GiY = -81.00 | GiZ = 35.00 | Tiempo: 1500
AcX = 877.00 | AcY = 3929.00 | AcZ = 279.00 | GiX = -409.00 | GiY = -17.00 | GiZ = -6.00 | Tiempo: 1995
AcX = 838.00 | AcY = 3957.00 | AcZ = 278.00 | GiX = -382.00 | GiY = 19.00 | GiZ = -103.00 | Tiempo: 2490
AcX = 845.00 | AcY = 3993.00 | AcZ = 267.00 | GiX = -377.00 | GiY = 176.00 | GiZ = -110.00 | Tiempo: 2985
AcX = 913.00 | AcY = 3959.00 | AcZ = 259.00 | GiX = -328.00 | GiY = 180.00 | GiZ = -174.00 | Tiempo: 3480
AcX = 911.00 | AcY = 3985.00 | AcZ = 276.00 | GiX = -296.00 | GiY = 186.00 | GiZ = -178.00 | Tiempo: 3975
AcX = 882.00 | AcY = 3958.00 | AcZ = 233.00 | GiX = -316.00 | GiY = 86.00 | GiZ = -185.00 | Tiempo: 4470
AcX = 919.00 | AcY = 3957.00 | AcZ = 251.00 | GiX = -322.00 | GiY = -17.00 | GiZ = -127.00 | Tiempo: 4965
AcX = 899.00 | AcY = 3943.00 | AcZ = 223.00 | GiX = -332.00 | GiY = -172.00 | GiZ = -67.00 | Tiempo: 5460
AcX = 864.00 | AcY = 3943.00 | AcZ = 270.00 | GiX = -365.00 | GiY = -283.00 | GiZ = -36.00 | Tiempo: 5955
AcX = 861.00 | AcY = 3979.00 | AcZ = 244.00 | GiX = -384.00 | GiY = -264.00 | GiZ = -60.00 | Tiempo: 6450
AcX = 861.00 | AcY = 3972.00 | AcZ = 243.00 | GiX = -331.00 | GiY = -90.00 | GiZ = -115.00 | Tiempo: 6945
AcX = 864.00 | AcY = 3977.00 | AcZ = 266.00 | GiX = -295.00 | GiY = -8.00 | GiZ = -199.00 | Tiempo: 7440
AcX = 865.00 | AcY = 3987.00 | AcZ = 275.00 | GiX = -286.00 | GiY = 116.00 | GiZ = -211.00 | Tiempo: 7935
AcX = 867.00 | AcY = 3963.00 | AcZ = 264.00 | GiX = -289.00 | GiY = 196.00 | GiZ = -181.00 | Tiempo: 8430
AcX = 880.00 | AcY = 3964.00 | AcZ = 251.00 | GiX = -303.00 | GiY = 267.00 | GiZ = -148.00 | Tiempo: 8925
AcX = 895.00 | AcY = 3962.00 | AcZ = 229.00 | GiX = -305.00 | GiY = 385.00 | GiZ = -140.00 | Tiempo: 9420
AcX = 904.00 | AcY = 3944.00 | AcZ = 264.00 | GiX = -381.00 | GiY = 318.00 | GiZ = -190.00 | Tiempo: 9915
AcX = 912.00 | AcY = 3951.00 | AcZ = 262.00 | GiX = -410.00 | GiY = 215.00 | GiZ = -159.00 | Tiempo: 10410
AcX = 892.00 | AcY = 3957.00 | AcZ = 248.00 | GiX = -442.00 | GiY = 30.00 | GiZ = -161.00 | Tiempo: 10905
AcX = 870.00 | AcY = 3961.00 | AcZ = 245.00 | GiX = -433.00 | GiY = -3.00 | GiZ = -171.00 | Tiempo: 11400
AcX = 848.00 | AcY = 3980.00 | AcZ = 252.00 | GiX = -419.00 | GiY = 30.00 | GiZ = -147.00 | Tiempo: 11895
AcX = 853.00 | AcY = 3983.00 | AcZ = 237.00 | GiX = -347.00 | GiY = 62.00 | GiZ = -153.00 | Tiempo: 12390
AcX = 848.00 | AcY = 3967.00 | AcZ = 272.00 | GiX = -434.00 | GiY = 128.00 | GiZ = -158.00 | Tiempo: 12885
AcX = 857.00 | AcY = 3971.00 | AcZ = 290.00 | GiX = -463.00 | GiY = 79.00 | GiZ = -84.00 | Tiempo: 13380
