---- Opened the serial port COM7 ----
Offset MPU6050
Tiempo total: 1002
Offset AcX = 1195.31 | Offset AcY = 3883.34 | Offset AcZ = 256.59
Offset GiX = -91.78 | Offset GiY = -64.30 | Offset GiZ = -4.98
Resultados MPU6050
AcX = 1214.00 | AcY = 3892.00 | AcZ = 262.00 | GiX = -113.00 | GiY = -69.00 | GiZ = 16.00 | Tiempo: 510
AcX = 1200.00 | AcY = 3907.00 | AcZ = 237.00 | GiX = -147.00 | GiY = -63.00 | GiZ = 31.00 | Tiempo: 1005
AcX = 1201.00 | AcY = 3891.00 | AcZ = 239.00 | GiX = -115.00 | GiY = -58.00 | GiZ = 22.00 | Tiempo: 1500
AcX = 1189.00 | AcY = 3883.00 | AcZ = 240.00 | GiX = -137.00 | GiY = -65.00 | GiZ = 32.00 | Tiempo: 1995
AcX = 1204.00 | AcY = 3882.00 | AcZ = 251.00 | GiX = -120.00 | GiY = -53.00 | GiZ = 58.00 | Tiempo: 2490
AcX = 1199.00 | AcY = 3881.00 | AcZ = 234.00 | GiX = -94.00 | GiY = -26.00 | GiZ = 28.00 | Tiempo: 2985
AcX = 1205.00 | AcY = 3879.00 | AcZ = 216.00 | GiX = -60.00 | GiY = -33.00 | GiZ = 23.00 | Tiempo: 3480
AcX = 1230.00 | AcY = 3886.00 | AcZ = 285.00 | GiX = -64.00 | GiY = -57.00 | GiZ = 15.00 | Tiempo: 3975
AcX = 1240.00 | AcY = 3901.00 | AcZ = 254.00 | GiX = -33.00 | GiY = -68.00 | GiZ = 54.00 | Tiempo: 4470
AcX = 1253.00 | AcY = 3879.00 | AcZ = 240.00 | GiX = -35.00 | GiY = -105.00 | GiZ = 99.00 | Tiempo: 4965
AcX = 1181.00 | AcY = 3844.00 | AcZ = 219.00 | GiX = 10.00 | GiY = -53.00 | GiZ = 36.00 | Tiempo: 5460
AcX = 1166.00 | AcY = 3845.00 | AcZ = 212.00 | GiX = 10.00 | GiY = -12.00 | GiZ = -26.00 | Tiempo: 5955
AcX = 1135.00 | AcY = 3879.00 | AcZ = 240.00 | GiX = -5.00 | GiY = 30.00 | GiZ = -28.00 | Tiempo: 6450
AcX = 1217.00 | AcY = 3896.00 | AcZ = 259.00 | GiX = -14.00 | GiY = 44.00 | GiZ = -26.00 | Tiempo: 6945
AcX = 1190.00 | AcY = 3887.00 | AcZ = 240.00 | GiX = -32.00 | GiY = 21.00 | GiZ = -38.00 | Tiempo: 7440
AcX = 1225.00 | AcY = 3888.00 | AcZ = 225.00 | GiX = -109.00 | GiY = -24.00 | GiZ = 14.00 | Tiempo: 7935
AcX = 1260.00 | AcY = 3873.00 | AcZ = 239.00 | GiX = -121.00 | GiY = -97.00 | GiZ = 27.00 | Tiempo: 8430
AcX = 1251.00 | AcY = 3874.00 | AcZ = 197.00 | GiX = -111.00 | GiY = -123.00 | GiZ = 55.00 | Tiempo: 8925
AcX = 1206.00 | AcY = 3851.00 | AcZ = 228.00 | GiX = -112.00 | GiY = -158.00 | GiZ = 36.00 | Tiempo: 9420
AcX = 1224.00 | AcY = 3903.00 | AcZ = 258.00 | GiX = -94.00 | GiY = -166.00 | GiZ = -5.00 | Tiempo: 9915
AcX = 1178.00 | AcY = 3866.00 | AcZ = 187.00 | GiX = -59.00 | GiY = -67.00 | GiZ = -67.00 | Tiempo: 10410
AcX = 1214.00 | AcY = 3901.00 | AcZ = 261.00 | GiX = -25.00 | GiY = -52.00 | GiZ = -65.00 | Tiempo: 10905
